Threshold,FPR,TPR
inf,0.0,0.0
0.9999990453965379,0.0,0.00014287755393627662
0.9781210256757567,0.0,0.6598085440777254
0.9778195319933055,0.0005,0.6598085440777254
0.9025649443540826,0.0005,0.6842406058008287
0.901923205561923,0.001,0.6842406058008287
0.9012563522417656,0.001,0.6846692384626375
0.9011419850115415,0.0015,0.6846692384626375
0.8986205003279857,0.0015,0.685955136448064
0.8979278954590798,0.002,0.685955136448064
0.8897775767008191,0.002,0.6893841977425347
0.8897634073392655,0.0025,0.6893841977425347
0.8847946458004459,0.0025,0.691670238605515
0.8845844490027526,0.003,0.691670238605515
0.8818865823222722,0.003,0.6935276468066867
0.8818129661648489,0.0035,0.6935276468066867
0.8759764346159061,0.0035,0.6960994427775397
0.8756662785032935,0.004,0.6960994427775397
0.8647404267197636,0.004,0.7013859122731819
0.8646042078641734,0.0045,0.7013859122731819
0.8613525643692408,0.0045,0.7033861980282897
0.8607615968551451,0.005,0.7033861980282897
0.8604022635017416,0.005,0.7036719531361623
0.8588244437642625,0.006,0.7036719531361623
0.8582457288884163,0.006,0.7041005857979712
0.8581516458817394,0.0065,0.7041005857979712
0.85811178615425,0.0065,0.7042434633519075
0.8575543640836073,0.007,0.7042434633519075
0.8532666931752543,0.007,0.7056722388912702
0.8525340144919651,0.0075,0.7056722388912702
0.8407960231652322,0.0075,0.7113873410487213
0.8403789258499368,0.008,0.7113873410487213
0.834628895173118,0.008,0.7145306472353193
0.83434930761235,0.0085,0.7145306472353193
0.8267175617258136,0.0085,0.7165309329904272
0.8266005021459535,0.009,0.7165309329904272
0.82520601502237,0.009,0.7172453207601086
0.8251659000001299,0.0095,0.7172453207601086
0.8155414659129291,0.0095,0.7215316473781969
0.8154929068468969,0.01,0.7215316473781969
0.8095802085596212,0.01,0.7243891984569224
0.8095480078203319,0.0105,0.7243891984569224
0.807663109964787,0.0105,0.7248178311187312
0.8068642556517139,0.011,0.7248178311187312
0.8011979695689246,0.011,0.7271038719817117
0.8011690912314671,0.0115,0.7271038719817117
0.7969391347873451,0.0115,0.7289612801828833
0.7959274092762318,0.012,0.7289612801828833
0.7861046445099249,0.012,0.7331047292470353
0.7861015734202598,0.0125,0.7331047292470353
0.7855873245045227,0.0125,0.7335333619088441
0.7850323437677414,0.013,0.7335333619088441
0.7849011307641164,0.013,0.7336762394627804
0.7844551217911302,0.0135,0.7336762394627804
0.7801237298936411,0.0135,0.7362480354336334
0.7794423501452108,0.014,0.7362480354336334
0.7783764710483957,0.014,0.7366766680954422
0.7781022844127442,0.0145,0.7366766680954422
0.7762544998968056,0.0145,0.737105300757251
0.7756475435252281,0.015,0.737105300757251
0.7726748943054632,0.015,0.7385340762966138
0.7726268252627682,0.0155,0.7385340762966138
0.7635340689169235,0.0155,0.7431061580225746
0.7635038980631995,0.016,0.7431061580225746
0.7529050451565463,0.016,0.7482497499642806
0.7528170636885759,0.0165,0.7482497499642806
0.7458001040388421,0.0165,0.7505357908272611
0.7455735757104959,0.017,0.7505357908272611
0.7452679204406337,0.017,0.7508215459351336
0.7450311450205986,0.0175,0.7508215459351336
0.742847713239246,0.0175,0.7522503214744963
0.7425326368205512,0.0185,0.7522503214744963
0.7409161644840497,0.0185,0.7529647092441777
0.7408802172878504,0.019,0.7529647092441777
0.7386525472067622,0.019,0.7539648521217317
0.7385809245634765,0.0195,0.7539648521217317
0.7369909431862197,0.0195,0.7543934847835405
0.7369483512562963,0.02,0.7543934847835405
0.7357283715863769,0.02,0.7551078725532219
0.7353938945993265,0.0205,0.7551078725532219
0.7282706991750709,0.0205,0.7575367909701386
0.7278014821212879,0.021,0.7575367909701386
0.7225156731435765,0.021,0.7593941991713102
0.7219120378566072,0.0215,0.7593941991713102
0.7210645469940712,0.0215,0.7599657093870553
0.7208996055578007,0.022,0.7599657093870553
0.7188619643990343,0.022,0.7605372196028004
0.7186295034356633,0.0225,0.7605372196028004
0.7117691701898811,0.0225,0.762394627803972
0.7115479937790746,0.023,0.762394627803972
0.7079175868129969,0.023,0.7636805257893985
0.7078347740653039,0.0235,0.7636805257893985
0.6912714187084416,0.0235,0.7705386483783397
0.6911237616571813,0.024,0.7705386483783397
0.6910320118364416,0.024,0.770681525932276
0.6905815711468649,0.0245,0.770681525932276
0.6883292577320193,0.0245,0.7718245463637663
0.6876850347414682,0.025,0.7718245463637663
0.686067406953455,0.025,0.7728246892413202
0.6859435638496434,0.0255,0.7728246892413202
0.6822604030644058,0.0255,0.7741105872267466
0.6820382983525347,0.026,0.7741105872267466
0.6816369306114427,0.026,0.7742534647806829
0.6815047546571964,0.027,0.7742534647806829
0.680743061410344,0.027,0.7751107301043006
0.68017496091407,0.0275,0.7751107301043006
